brand,condition,price,name,date,model
Apple,Used,25500,Apple iPhone 6 16gb Gold (Used),2019-03-01 08:42:00,iPhone 6
Apple,Used,22500,Apple iPhone 6 (Used),2019-03-01 09:31:00,iPhone 6
Apple,Used,29000,Apple iPhone 6 32gb (Used),2019-03-01 09:07:00,iPhone 6
Apple,Used,17000,Apple iPhone 6 16GB Gold (Used),2019-03-01 09:06:00,iPhone 6
Apple,New,39900,Apple iPhone 6 COLORS || 16GB (New),2019-03-01 09:36:00,iPhone 6
Apple,Used,23000,Apple iPhone 6 16GB (Used),2019-03-01 08:17:00,iPhone 6
Apple,New,46000,Apple iPhone 6 COLORS || 64GB (New),2019-03-01 09:38:00,iPhone 6
Apple,Used,24990,Apple iPhone 6 16GB|128GB Full Set (Used),2019-02-23 20:42:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 16GB (Used),2019-03-01 09:31:00,iPhone 6
Apple,Used,16000,Apple iPhone 6 (Used),2019-03-01 09:47:00,iPhone 6
Apple,Used,35999,Apple iPhone 6 Black 64GB USA (Used),2019-03-01 10:48:00,iPhone 6
Apple,New,39900,Apple iPhone 6 16GB (New),2019-02-08 16:31:00,iPhone 6
Apple,Used,23000,Apple iPhone 6 (Used),2019-02-28 14:54:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (Used),2019-02-28 15:33:00,iPhone 6
Apple,Used,35500,Apple iPhone 6 64GB (Used),2019-01-28 11:40:00,iPhone 6
Apple,Used,17000,Apple iPhone 6 (Used),2019-02-28 15:52:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 64 gb (Used),2019-02-28 17:48:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-23 08:02:00,iPhone 6
Apple,New,45900,Apple iPhone 6 64G |GRAY (New),2019-02-28 16:10:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 Space Grey (Used),2019-02-28 18:49:00,iPhone 6
Apple,New,48000,Apple iPhone 6 128GB || GOLD (New),2019-02-28 18:26:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 64 Gb (Used),2019-02-28 16:02:00,iPhone 6
Apple,Used,28500,Apple iPhone 6 16GB (Used),2019-03-01 00:29:00,iPhone 6
Apple,New,39900,Apple iPhone 6 GOLD || GREY 16GB (New),2019-02-28 18:22:00,iPhone 6
Apple,New,46000,Apple iPhone 6 64GB (New),2019-02-28 18:18:00,iPhone 6
Apple,Used,28500,Apple iPhone 6 64gb (Used),2019-02-22 17:06:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 128GB (Used),2019-02-27 14:15:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 (Used),2019-03-01 01:13:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-28 11:49:00,iPhone 6
Apple,Used,27000,Apple iPhone 6 (Used),2019-02-28 12:15:00,iPhone 6
Apple,New,39900,Apple iPhone 6 16GB (New),2019-02-28 15:07:00,iPhone 6
Apple,New,29990,Apple iPhone 6 16/64GB (New),2019-02-21 08:27:00,iPhone 6
Apple,New,46000,Apple iPhone 6 64 Gb [gold | Grey] (New),2019-02-28 16:14:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-28 12:06:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 (Used),2019-02-28 13:01:00,iPhone 6
Apple,Used,30900,Apple iPhone 6 16/64GB (Used),2019-01-11 23:07:00,iPhone 6
Apple,Used,27000,Apple iPhone 6 (Used),2019-02-28 12:27:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-28 15:07:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 64gb (Used),2019-02-28 12:43:00,iPhone 6
Apple,Used,24500,Apple iPhone 6 (Used),2019-02-28 13:37:00,iPhone 6
Apple,Used,24500,Apple iPhone 6 (Used),2019-02-28 13:41:00,iPhone 6
Apple,Used,26500,Apple iPhone 6 16gb Gray Colour (Used),2019-02-28 13:07:00,iPhone 6
Apple,New,45900,Apple iPhone 6 64GB Gold (New),2019-02-23 13:39:00,iPhone 6
Apple,Used,25500,Apple iPhone 6 16GB (Used),2019-02-28 13:51:00,iPhone 6
Apple,Used,34500,Apple iPhone 6 64GB (Used),2019-02-28 12:17:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 (Used),2019-02-28 13:53:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 Gold 64GB (Used),2019-02-28 13:55:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-27 15:35:00,iPhone 6
Apple,Used,37000,Apple iPhone 6 (Used),2019-02-27 16:48:00,iPhone 6
Apple,New,39900,Apple iPhone 6 16GB GOLD (New),2019-02-28 16:15:00,iPhone 6
Apple,Used,22000,Apple iPhone 6 16gb (Used),2019-02-27 16:56:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 32GB Factory Unlock (Used),2019-02-27 19:45:00,iPhone 6
Apple,Used,31500,Apple iPhone 6 64Gb (Used),2019-02-27 19:46:00,iPhone 6
Apple,New,48000,Apple iPhone 6 Spacegrey : 128GB (New),2019-02-28 16:15:00,iPhone 6
Apple,Used,27000,Apple iPhone 6 64GB (Used),2019-02-27 18:56:00,iPhone 6
Apple,Used,25000,Apple iPhone 6 16 GB (Used),2019-02-27 20:35:00,iPhone 6
Apple,New,45900,Apple iPhone 6 64GB GOLD || GREY (New),2019-02-28 16:15:00,iPhone 6
Apple,Used,32500,Apple iPhone 6 128gb (Used),2019-02-27 22:11:00,iPhone 6
Apple,Used,40000,Apple iPhone 6 (Used),2019-02-27 21:52:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 64GB Grey (Used),2019-02-27 21:49:00,iPhone 6
Apple,New,31900,Apple iPhone 6 Silver /USA (New),2019-02-07 22:09:00,iPhone 6
Apple,Used,31500,Apple iPhone 6 64GB F/U (Used),2019-02-27 21:57:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 64GB (Used),2019-02-27 21:57:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 Original California (Used),2019-02-27 10:53:00,iPhone 6
Apple,Used,36500,Apple iPhone 6 (Used),2019-02-27 10:54:00,iPhone 6
Apple,Used,31990,Apple iPhone 6 Gold/16GB (Used),2019-02-27 10:51:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-27 16:07:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 space gray 64gb (Used),2019-02-28 15:45:00,iPhone 6
Apple,Used,27900,Apple iPhone 6 16GB (Gold) (Used),2019-02-27 11:06:00,iPhone 6
Apple,Used,34000,Apple iPhone 6 64GB (Used),2019-02-27 12:14:00,iPhone 6
Apple,Used,26000,Apple iPhone 6 (Used),2019-02-27 12:48:00,iPhone 6
Apple,Used,34000,Apple iPhone 6 (Used),2019-02-28 15:04:00,iPhone 6
Apple,Used,27500,Apple iPhone 6 16gb (Used),2019-02-27 11:34:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-27 11:12:00,iPhone 6
Apple,Used,35500,Apple iPhone 6 64GB full set (Used),2019-02-27 13:27:00,iPhone 6
Apple,New,37900,Apple iPhone 6 16Gb. USA (New),2019-02-27 13:56:00,iPhone 6
Apple,Used,26000,Apple iPhone 6 32GB (Used),2019-02-27 13:38:00,iPhone 6
Apple,Used,33100,Apple iPhone 6 (Used),2019-02-27 13:50:00,iPhone 6
Apple,Used,25000,Apple iPhone 6 128GB black (Used),2019-02-26 19:58:00,iPhone 6
Apple,New,42900,Apple iPhone 6 32Gb (New),2019-02-27 13:57:00,iPhone 6
Apple,New,44900,Apple iPhone 6 64GB (New),2019-02-27 13:59:00,iPhone 6
Apple,Used,25000,Apple iPhone 6 16gb (Used),2019-02-26 20:20:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 32GB GOLD (Used),2019-02-26 19:31:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 16 GB GOLD (Used),2019-02-26 19:59:00,iPhone 6
Apple,Used,18500,Apple iPhone 6 gold (Used),2019-02-26 20:32:00,iPhone 6
Apple,Used,31500,Apple iPhone 6 64gb (Used),2019-02-26 17:49:00,iPhone 6
Apple,Used,28500,Apple iPhone 6 Gold (Used),2019-02-27 06:47:00,iPhone 6
Apple,Used,29000,Apple iPhone 6 32gb space gray (Used),2019-02-26 21:41:00,iPhone 6
Apple,Used,21000,Apple iPhone 6 16Gb GOLD (Used),2019-02-26 23:21:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 64 GB (Used),2019-02-26 20:56:00,iPhone 6
Apple,Used,30800,Apple iPhone 6 64GB can exchange (Used),2019-02-27 08:49:00,iPhone 6
Apple,New,43900,Apple iPhone 6 32 GB GOLD (New),2019-02-27 06:59:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 64GB (Used),2019-02-26 10:10:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 64GB Gold (Used),2019-02-26 10:33:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 (Used),2019-02-26 11:09:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (16GB) Condition (Used),2019-02-26 10:19:00,iPhone 6
Apple,Used,37990,Apple iPhone 6 (Used),2019-02-27 00:41:00,iPhone 6
Apple,Used,37500,Apple iPhone 6 Spece Grey 32GB (Used),2019-02-27 16:16:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-27 07:13:00,iPhone 6
Apple,Used,33999,Apple iPhone 6 Black 32GB (Used),2019-02-26 11:47:00,iPhone 6
Apple,Used,33500,Apple iPhone 6 64gb (Used),2019-02-26 11:54:00,iPhone 6
Apple,New,33500,Apple iPhone 6 32GB (New),2019-02-26 10:37:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 (Used),2019-02-26 15:02:00,iPhone 6
Apple,New,39900,Apple iPhone 6 Spacegrey Color (New),2019-02-28 16:24:00,iPhone 6
Apple,Used,34800,Apple iPhone 6 64gb (Used),2019-02-26 12:05:00,iPhone 6
Apple,Used,32500,Apple iPhone 6 64gb (Used),2019-02-26 12:03:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 silver (Used),2019-02-26 14:49:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-27 15:10:00,iPhone 6
Apple,Used,29000,Apple iPhone 6 (Used),2019-02-27 21:02:00,iPhone 6
Apple,Used,25800,Apple iPhone 6 (Used),2019-02-26 14:39:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 (Used),2019-02-25 20:11:00,iPhone 6
Apple,Used,22500,Apple iPhone 6 16GB (Used),2019-02-28 18:49:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 64GB (Used),2019-02-28 19:34:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 128GB Gold (Used),2019-02-25 19:55:00,iPhone 6
Apple,New,39900,Apple iPhone 6 SPACEGREY || GOLD (New),2019-02-28 16:24:00,iPhone 6
Apple,New,35000,Apple iPhone 6 32gb (New),2019-02-25 19:37:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 64GB GOLD (Used),2019-02-25 20:54:00,iPhone 6
Apple,Used,23500,Apple iPhone 6 gold 16GB (Used),2019-02-25 20:11:00,iPhone 6
Apple,Used,33500,Apple iPhone 6 (Used),2019-02-25 21:41:00,iPhone 6
Apple,Used,27000,Apple iPhone 6 (Used),2019-02-27 10:00:00,iPhone 6
Apple,Used,16000,Apple iPhone 6 16GB FACTORY UNLOCK (Used),2019-02-25 21:25:00,iPhone 6
Apple,Used,18000,Apple iPhone 6 Finger Not Work (Used),2019-02-25 20:56:00,iPhone 6
Apple,Used,34500,Apple iPhone 6 64 [SpaceGray] (Used),2019-02-25 19:49:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-25 11:49:00,iPhone 6
Apple,Used,26000,Apple iPhone 6 16GB (Used),2019-02-25 12:37:00,iPhone 6
Apple,Used,33999,Apple iPhone 6 32GB Silver (Used),2019-02-25 12:09:00,iPhone 6
Apple,New,33990,Apple iPhone 6 16GB (New),2019-02-25 12:23:00,iPhone 6
Apple,New,35999,Apple iPhone 6 64GB (New),2019-02-25 12:24:00,iPhone 6
Apple,Used,22900,Apple iPhone 6 (Used),2019-02-25 12:57:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-25 13:12:00,iPhone 6
Apple,Used,24000,Apple iPhone 6 (Used),2019-02-25 12:20:00,iPhone 6
Apple,New,32500,Apple iPhone 6 (New),2019-02-25 13:19:00,iPhone 6
Apple,Used,25600,Apple iPhone 6 16Gb (Used),2019-02-26 01:56:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 32gb (Used),2019-02-25 13:33:00,iPhone 6
Apple,Used,26800,Apple iPhone 6 16GB (Used),2019-02-25 13:50:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 64GB (Used),2019-02-25 13:21:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-25 13:55:00,iPhone 6
Apple,Used,23000,Apple iPhone 6 64gb Gray (Used),2019-02-25 13:21:00,iPhone 6
Apple,Used,26000,Apple iPhone 6 16GB (Used),2019-02-24 20:08:00,iPhone 6
Apple,Used,34000,Apple iPhone 6 128GB JAPAN (Used),2019-02-24 21:38:00,iPhone 6
Apple,Used,25500,Apple iPhone 6 16GB (Used),2019-02-24 20:10:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 128gb (Used),2019-02-24 22:27:00,iPhone 6
Apple,New,52000,Apple iPhone 6 (New),2019-02-24 20:35:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 64GB (Used),2019-02-28 08:14:00,iPhone 6
Apple,Used,37000,Apple iPhone 6 Gold 64GB (Used),2019-02-24 22:21:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 Gold 16GB (Used),2019-02-28 19:37:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-24 23:31:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 (Used),2019-02-24 22:56:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-23 20:57:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 64gb (Used),2019-02-25 00:12:00,iPhone 6
Apple,Used,26500,Apple iPhone 6 64gb (Used),2019-02-26 17:30:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-28 15:58:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 Gold 64 GB (Used),2019-02-23 22:59:00,iPhone 6
Apple,Used,30990,Apple iPhone 6 (Used),2019-02-23 22:10:00,iPhone 6
Apple,New,43900,Apple iPhone 6 32 UNLOCK (New),2019-02-26 11:34:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 I Phone 64 Gb (Used),2019-02-24 07:14:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (Used),2019-02-24 09:48:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 (Used),2019-02-23 22:41:00,iPhone 6
Apple,New,45900,Apple iPhone 6 64 Gb Unlock to All (New),2019-02-26 11:33:00,iPhone 6
Apple,Used,25500,Apple iPhone 6 16GB (Used),2019-02-24 09:47:00,iPhone 6
Apple,Used,33999,Apple iPhone 6 Gold 32GB (Used),2019-02-24 10:16:00,iPhone 6
Apple,Used,22500,Apple iPhone 6 16GB (Used),2019-02-23 22:09:00,iPhone 6
Apple,Used,22000,Apple iPhone 6 (Used),2019-02-25 15:10:00,iPhone 6
Apple,Used,29000,Apple iPhone 6 64GB Space Gray (Used),2019-02-26 17:53:00,iPhone 6
Apple,Used,33900,Apple iPhone 6 64GB (Used),2019-02-23 09:42:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 32GB (Used),2019-02-24 12:22:00,iPhone 6
Apple,Used,43900,Apple iPhone 6 32gb (Used),2019-02-26 11:45:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 I6 64GB (Used),2019-02-23 09:49:00,iPhone 6
Apple,Used,19500,Apple iPhone 6 16GB (Used),2019-02-23 08:22:00,iPhone 6
Apple,Used,35490,Apple iPhone 6 Gold USA 64GB (Used),2019-02-23 09:51:00,iPhone 6
Apple,Used,25000,Apple iPhone 6 16gb (Used),2019-02-23 08:27:00,iPhone 6
Apple,Used,26000,Apple iPhone 6 32gb (Used),2019-02-23 13:34:00,iPhone 6
Apple,Used,32500,Apple iPhone 6 64gb (Used),2019-02-23 14:03:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16Gb (Used),2019-02-23 13:49:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 │ 16GB (Used),2019-02-23 13:07:00,iPhone 6
Apple,Used,36500,Apple iPhone 6 32GB Face Time (Used),2019-02-21 21:00:00,iPhone 6
Apple,Used,33500,Apple iPhone 6 Gold 32gb (Used),2019-02-22 18:12:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 (Used),2019-02-21 22:12:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 64GB (Used),2019-02-21 19:30:00,iPhone 6
Apple,Used,29000,Apple iPhone 6 (Used),2019-02-21 22:25:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 16GB (Used),2019-02-24 17:17:00,iPhone 6
Apple,Used,40000,Apple iPhone 6 (Used),2019-02-21 23:45:00,iPhone 6
Apple,Used,29000,Apple iPhone 6 (Used),2019-02-22 07:47:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 Black (Used),2019-02-22 00:29:00,iPhone 6
Apple,New,43000,Apple iPhone 6 (New),2019-02-22 10:26:00,iPhone 6
Apple,Used,37000,Apple iPhone 6 64GB (Used),2019-02-22 12:21:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 Gold 64GB (Used),2019-02-22 03:29:00,iPhone 6
Apple,Used,27000,Apple iPhone 6 64GB (Used),2019-02-24 16:14:00,iPhone 6
Apple,Used,21000,Apple iPhone 6 2014 (Used),2019-02-22 14:23:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-21 00:54:00,iPhone 6
Apple,Used,32500,Apple iPhone 6 (Used),2019-02-21 07:16:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 . 16GB (Used),2019-02-23 07:49:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 64GB (Used),2019-02-21 01:48:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB Silver (Used),2019-02-21 01:47:00,iPhone 6
Apple,Used,17000,Apple iPhone 6 (Used),2019-02-21 07:47:00,iPhone 6
Apple,New,29990,Apple iPhone 6 16/64GB (New),2019-02-21 08:28:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 32Gb (Used),2019-02-22 08:03:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 🔅 16Gb (Used),2019-02-22 10:48:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-21 10:05:00,iPhone 6
Apple,Used,25000,Apple iPhone 6 16GB (Used),2019-02-21 12:27:00,iPhone 6
Apple,Used,38900,Apple iPhone 6 (Used),2019-02-21 13:53:00,iPhone 6
Apple,Used,45000,Apple iPhone 6 I Phone (Used),2019-02-21 11:44:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB GOLD (Used),2019-02-25 21:23:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-21 12:33:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 64GB (Used),2019-02-21 15:33:00,iPhone 6
Apple,Used,22000,Apple iPhone 6 (Used),2019-02-21 11:08:00,iPhone 6
Apple,Used,34000,Apple iPhone 6 64GB (Used),2019-02-22 17:06:00,iPhone 6
Apple,Used,25500,Apple iPhone 6 64gb (Used),2019-02-21 16:14:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-19 21:15:00,iPhone 6
Apple,New,37900,Apple iPhone 6 16GB | Malasiya (New),2019-02-27 15:40:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 (Used),2019-02-27 18:10:00,iPhone 6
Apple,New,34000,Apple iPhone 6 (New),2019-02-20 06:39:00,iPhone 6
Apple,Used,33200,Apple iPhone 6 128GB (Used),2019-02-20 10:53:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 32gb (Used),2019-02-19 23:05:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 32GB (Used),2019-02-25 13:09:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-20 09:37:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-20 11:14:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB (Used),2019-02-20 11:38:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 (Used),2019-02-20 12:24:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16Gb (Used),2019-02-20 11:04:00,iPhone 6
Apple,Used,23000,Apple iPhone 6 (Used),2019-02-20 11:55:00,iPhone 6
Apple,New,43900,Apple iPhone 6 32 Spacegray (New),2019-02-26 11:39:00,iPhone 6
Apple,Used,34500,Apple iPhone 6 64GB 1GB Ram (Used),2019-02-20 11:13:00,iPhone 6
Apple,New,45900,Apple iPhone 6 64GB SPACEGRAY (New),2019-02-26 11:39:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 (Used),2019-02-18 13:07:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 (Used),2019-02-18 17:17:00,iPhone 6
Apple,Used,31000,Apple iPhone 6 (Used),2019-02-18 14:50:00,iPhone 6
Apple,Used,27500,Apple iPhone 6 32GB (Used),2019-02-19 11:06:00,iPhone 6
Apple,Used,34500,Apple iPhone 6 (Used),2019-02-18 17:32:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-18 17:46:00,iPhone 6
Apple,Used,20000,Apple iPhone 6 . (Used),2019-02-18 18:02:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (Used),2019-02-21 13:52:00,iPhone 6
Apple,Used,26500,Apple iPhone 6 (Used),2019-02-20 21:07:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 (Used),2019-02-20 22:56:00,iPhone 6
Apple,Used,26500,Apple iPhone 6 16 GB (Used),2019-02-19 11:05:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 Space Grey 64GB (Used),2019-02-18 19:51:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-18 23:33:00,iPhone 6
Apple,Used,38000,Apple iPhone 6 (Used),2019-02-18 21:31:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-17 11:41:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-18 21:03:00,iPhone 6
Apple,Used,25000,Apple iPhone 6 Gray (Used),2019-02-17 11:50:00,iPhone 6
Apple,Used,34000,Apple iPhone 6 128gb (Used),2019-02-17 15:49:00,iPhone 6
Apple,Used,34000,Apple iPhone 6 64GB (Used),2019-02-17 16:50:00,iPhone 6
Apple,Used,40000,Apple iPhone 6 (Used),2019-02-17 14:00:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 (Used),2019-02-18 16:20:00,iPhone 6
Apple,Used,26500,Apple iPhone 6 64GB (Used),2019-02-17 22:29:00,iPhone 6
Apple,Used,25500,Apple iPhone 6 16GB (Used),2019-02-17 17:03:00,iPhone 6
Apple,Used,34500,Apple iPhone 6 64GB|8MP|RAM1GB (Used),2019-02-17 12:54:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 64GB Gold (Used),2019-02-24 15:24:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (Used),2019-02-20 14:01:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 64GB gold (Used),2019-02-21 17:27:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 (Used),2019-02-23 17:30:00,iPhone 6
Apple,Used,19900,Apple iPhone 6 16GB FACTORY UNLOCK (Used),2019-02-18 07:17:00,iPhone 6
Apple,Used,42500,Apple iPhone 6 32GB (Used),2019-02-21 07:50:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 (Used),2019-02-18 08:29:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-16 01:16:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 64GB (Used),2019-02-28 21:14:00,iPhone 6
Apple,Used,34500,Apple iPhone 6 64GB Gold & Black (Used),2019-02-18 01:44:00,iPhone 6
Apple,Used,24000,Apple iPhone 6 (Used),2019-02-16 03:48:00,iPhone 6
Apple,New,47900,Apple iPhone 6 128GB (New),2019-02-26 11:41:00,iPhone 6
Apple,New,45900,Apple iPhone 6 64gb (New),2019-02-26 11:41:00,iPhone 6
Apple,New,38900,Apple iPhone 6 16GB (New),2019-02-26 11:42:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 64gb gold colour (Used),2019-02-16 03:08:00,iPhone 6
Apple,Used,31500,Apple iPhone 6 (Used),2019-02-16 14:17:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-16 10:12:00,iPhone 6
Apple,New,43900,Apple iPhone 6 32GB (New),2019-02-26 11:42:00,iPhone 6
Apple,Used,23500,Apple iPhone 6 16GB (Used),2019-02-16 13:41:00,iPhone 6
Apple,Used,28500,Apple iPhone 6 (Used),2019-02-16 14:46:00,iPhone 6
Apple,Used,24000,Apple iPhone 6 (Used),2019-02-16 17:33:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (Used),2019-02-14 21:24:00,iPhone 6
Apple,Used,31500,Apple iPhone 6 64Gb (Used),2019-02-14 21:40:00,iPhone 6
Apple,New,25500,Apple iPhone 6 S/p gray 16gb (New),2019-02-16 18:26:00,iPhone 6
Apple,Used,25800,Apple iPhone 6 64GB (Used),2019-02-16 16:45:00,iPhone 6
Apple,Used,25500,Apple iPhone 6 16GB (Used),2019-02-16 16:26:00,iPhone 6
Apple,Used,50000,Apple iPhone 6 (Used),2019-02-15 15:53:00,iPhone 6
Apple,Used,23500,Apple iPhone 6 Gold (Used),2019-02-14 22:53:00,iPhone 6
Apple,Used,27000,Apple iPhone 6 s/p gray 64gb (Used),2019-02-15 08:32:00,iPhone 6
Apple,Used,29500,Apple iPhone 6 16GB Gold (Used),2019-02-15 04:00:00,iPhone 6
Apple,Used,31500,Apple iPhone 6 64GB (Used),2019-02-15 09:37:00,iPhone 6
Apple,Used,35000,Apple iPhone 6 (Used),2019-02-15 00:27:00,iPhone 6
Apple,New,31990,Apple iPhone 6 16GB (New),2019-02-15 09:40:00,iPhone 6
Apple,Used,33500,Apple iPhone 6 (Used),2019-02-15 17:22:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-15 11:40:00,iPhone 6
Apple,Used,46000,Apple iPhone 6 (Used),2019-02-15 12:12:00,iPhone 6
Apple,Used,22000,Apple iPhone 6 16GB Fullset (Used),2019-02-14 21:19:00,iPhone 6
Apple,Used,32000,Apple iPhone 6 (Used),2019-02-15 11:32:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 (Used),2019-02-13 19:03:00,iPhone 6
Apple,Used,30000,Apple iPhone 6 16GB (Used),2019-02-13 18:05:00,iPhone 6
Apple,Used,28000,Apple iPhone 6 (Used),2019-02-21 07:18:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 32GB (Used),2019-02-13 16:03:00,iPhone 6
Apple,Used,28500,Apple iPhone 6 2004 Edition (Used),2019-02-13 22:13:00,iPhone 6
Apple,Used,33000,Apple iPhone 6 (Used),2019-02-13 17:48:00,iPhone 6
Apple,New,29000,Apple iPhone 6 Full Set Box (New),2019-02-26 17:44:00,iPhone 6
Apple,Used,30500,Apple iPhone 6 Silver & Black (Used),2019-02-15 11:59:00,iPhone 6
Apple,Used,36500,Apple iPhone 6 Gold 64GB (Used),2019-02-14 08:52:00,iPhone 6
Apple,New,39500,Apple iPhone 6 32GB GrEy (New),2019-02-14 05:46:00,iPhone 6
